"Condition" "Batch" "Effect" "Strain" "Nuclear" "Mito" "Replicate" "WORMLENGTH" "n" "PHENO" "Status"
"20C" 2012021 9.91541511185105 "QG4414" "ECA2546" "ECA1229" 1 850.046041888061 14 840.13062677621 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4414" "ECA2546" "ECA1229" 2 904.855379378494 12 894.939964266643 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4448" "ECA1493" "ECA1229" 2 668.249270989213 17 658.333855877362 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4414" "ECA2546" "ECA1229" 4 890.580844866694 13 880.665429754843 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4445" "ECA1493" "ECA1298" 4 656.364040592465 14 646.448625480614 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4440" "ECA1493" "ECA2602" 1 820.889764371775 16 810.974349259924 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4440" "ECA1493" "ECA2602" 2 858.663103330611 16 848.74768821876 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4440" "ECA1493" "ECA2602" 3 815.714394138935 22 805.798979027084 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4491" "ECA1229" "ECA2602" 5 939.522504963283 12 929.607089851432 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 7 904.738882333512 31 894.823467221661 "Matched"
"20C" 2012021 9.91541511185105 "QG4440" "ECA1493" "ECA2602" 4 856.287867292716 22 846.372452180865 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4445" "ECA1493" "ECA1298" 8 691.346974297631 11 681.43155918578 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4411" "ECA2546" "ECA1298" 1 951.531631199897 15 941.616216088046 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4350" "ECA1298" "ECA2367" 6 882.025110063904 15 872.109694952053 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4448" "ECA1493" "ECA1229" 1 662.019806397415 13 652.104391285564 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4443" "ECA1493" "ECA2546" 4 835.1075170736 24 825.192101961749 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4448" "ECA1493" "ECA1229" 3 682.773644899237 13 672.858229787386 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4418" "ECA2546" "ECA2367" 2 847.316648063712 14 837.401232951861 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4491" "ECA1229" "ECA2602" 1 848.757756679722 20 838.842341567871 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4418" "ECA2546" "ECA2367" 4 853.285740779121 13 843.37032566727 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4491" "ECA1229" "ECA2602" 3 897.662050940191 19 887.74663582834 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 7 850.79588824038 38 840.880473128529 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4491" "ECA1229" "ECA2602" 6 886.363048286692 8 876.447633174841 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4443" "ECA1493" "ECA2546" 3 816.926546603461 25 807.01113149161 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4411" "ECA2546" "ECA1298" 3 938.789693665234 19 928.874278553383 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4505" "ECA1229" "ECA1493" 1 901.967517934986 9 892.052102823135 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4443" "ECA1493" "ECA2546" 2 753.060398848018 28 743.144983736167 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4443" "ECA1493" "ECA2546" 7 713.997401298534 45 704.081986186683 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4443" "ECA1493" "ECA2546" 8 714.813726114977 46 704.898311003126 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4443" "ECA1493" "ECA2546" 5 829.376279115473 23 819.460864003622 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4443" "ECA1493" "ECA2546" 6 805.036418870577 19 795.121003758726 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4420" "ECA2546" "ECA1493" 3 880.461274369241 13 870.54585925739 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4505" "ECA1229" "ECA1493" 3 904.044276987746 10 894.128861875895 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 6 812.665399991229 41 802.749984879378 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4445" "ECA1493" "ECA1298" 7 761.27671711557 10 751.361302003719 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4505" "ECA1229" "ECA1493" 2 930.696512327988 8 920.781097216137 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4454" "ECA1493" "ECA1493" 2 693.546472449443 7 683.631057337592 "Matched"
"20C" 2012021 9.91541511185105 "QG4445" "ECA1493" "ECA1298" 5 682.462783167491 18 672.54736805564 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4505" "ECA1229" "ECA1493" 4 787.524358393548 8 777.608943281697 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4418" "ECA2546" "ECA2367" 1 891.995690710254 16 882.080275598403 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4454" "ECA1493" "ECA1493" 5 732.005288041855 10 722.089872930004 "Matched"
"20C" 2012021 9.91541511185105 "QG4411" "ECA2546" "ECA1298" 2 924.947955147956 13 915.032540036105 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4445" "ECA1493" "ECA1298" 6 736.444568228944 19 726.529153117093 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4420" "ECA2546" "ECA1493" 2 923.309568884578 18 913.394153772727 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4440" "ECA1493" "ECA2602" 6 806.716298116095 10 796.800883004244 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4452" "ECA1493" "ECA2367" 3 721.446660940104 14 711.531245828253 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4452" "ECA1493" "ECA2367" 4 646.050686715547 14 636.135271603696 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4411" "ECA2546" "ECA1298" 4 979.366966085218 18 969.451550973367 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4411" "ECA2546" "ECA1298" 5 921.124244908617 14 911.208829796766 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4454" "ECA1493" "ECA1493" 3 684.878691964253 8 674.963276852402 "Matched"
"20C" 2012021 9.91541511185105 "QG4440" "ECA1493" "ECA2602" 7 780.050417368908 40 770.135002257057 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4491" "ECA1229" "ECA2602" 2 891.17484752063 20 881.259432408779 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4454" "ECA1493" "ECA1493" 4 731.409822082328 5 721.494406970477 "Matched"
"20C" 2012021 9.91541511185105 "QG4505" "ECA1229" "ECA1493" 5 849.27905753399 6 839.363642422139 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4454" "ECA1493" "ECA1493" 1 752.970191026045 13 743.054775914194 "Matched"
"20C" 2012021 9.91541511185105 "QG4420" "ECA2546" "ECA1493" 1 894.481222865903 18 884.565807754052 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4452" "ECA1493" "ECA2367" 1 699.883161124681 15 689.96774601283 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4452" "ECA1493" "ECA2367" 2 676.41453201257 16 666.499116900719 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4352" "ECA1298" "ECA1493" 5 836.862778151439 10 866.429189934479 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4290" "ECA2602" "ECA2546" 7 713.842245328348 7 743.408657111388 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4290" "ECA2602" "ECA2546" 4 836.560646723653 19 866.127058506693 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4343" "ECA1298" "ECA1298" 5 804.6167473055 7 834.18315908854 "Matched"
"20C" 4042024 -29.5664117830403 "QG4290" "ECA2602" "ECA2546" 1 856.95429812829 23 886.52070991133 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4343" "ECA1298" "ECA1298" 6 817.623089176506 10 847.189500959546 "Matched"
"20C" 4042024 -29.5664117830403 "QG4290" "ECA2602" "ECA2546" 3 817.722793416464 18 847.289205199504 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4406" "ECA2546" "ECA2602" 1 847.612786452677 12 877.179198235717 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4290" "ECA2602" "ECA2546" 6 839.369695229599 14 868.936107012639 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4346" "ECA1298" "ECA1229" 5 824.33878620424 15 853.90519798728 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4290" "ECA2602" "ECA2546" 2 852.19177935082 20 881.75819113386 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4346" "ECA1298" "ECA1229" 6 816.508441220293 12 846.074853003333 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4352" "ECA1298" "ECA1493" 3 792.16669346485 15 821.73310524789 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4341" "ECA1298" "ECA2546" 8 806.980025828439 17 836.546437611479 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4409" "ECA2546" "ECA2546" 15 831.954071616288 20 861.520483399328 "Matched"
"20C" 4042024 -29.5664117830403 "QG4290" "ECA2602" "ECA2546" 8 725.318259295952 9 754.884671078992 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4341" "ECA1298" "ECA2546" 6 850.795377946438 10 880.361789729478 "Mismatched"
"20C" 4042024 -29.5664117830403 "QG4350" "ECA1298" "ECA2367" 1 774.920810212722 13 804.487221995762 "Mismatched"
