"Condition" "Strain" "Nuclear" "Mito" "Replicate" "Batch" "WORMLENGTH" "Status"
"25C" "QG4295" "ECA2602" "ECA1229" "E11" 2012021 1126.61321776234 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "E11" 2012021 1219.39475398426 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "E11" 2012021 1237.25107502309 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "E11" 2012021 1189.91439488383 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "E11" 2012021 1218.055397119 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "E11" 2012021 1183.92307851417 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "F11" 2012021 1220.79607432983 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "F11" 2012021 1133.46768155824 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "F11" 2012021 1207.61374939196 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "F11" 2012021 1215.7328363384 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "F11" 2012021 1154.47621262259 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "F11" 2012021 1197.72667502309 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "F11" 2012021 1230.03487851417 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "F11" 2012021 1224.82007679686 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "G11" 2012021 1232.19522338964 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "G11" 2012021 1173.60641542422 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "G11" 2012021 1215.29477853161 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "G11" 2012021 1118.80810304407 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "G11" 2012021 1236.12674224108 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "G11" 2012021 1216.95390002342 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "G11" 2012021 1117.03517826862 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "G11" 2012021 1188.66581192807 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1089.02280956168 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1199.54514196026 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1104.26562433557 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1202.77250013484 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1096.47041793316 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1236.54424372678 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1237.63890492445 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1136.22431759923 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1157.53331741291 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "H11" 2012021 1192.91766932157 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "A09" 2012021 1208.63515397549 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "A09" 2012021 1204.92421551499 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "A09" 2012021 1223.40781763853 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "A09" 2012021 1237.32450666999 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "A09" 2012021 1235.16031020395 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "A09" 2012021 1175.14019004415 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "A09" 2012021 1227.05557676863 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "A09" 2012021 1196.56207772048 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "A09" 2012021 1213.3097844587 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "B09" 2012021 1186.85839776174 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "B09" 2012021 1198.63945340242 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "B09" 2012021 1210.54691566737 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "B09" 2012021 1209.26428730335 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "B09" 2012021 1170.08307549352 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "B09" 2012021 1200.31814686727 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "B09" 2012021 1149.11347009864 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "C09" 2012021 1234.54742294744 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "C09" 2012021 1216.86823947987 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "C09" 2012021 1227.5888283189 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "C09" 2012021 1129.06039767262 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "C09" 2012021 1217.07751929329 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "C09" 2012021 1202.27281133064 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "C09" 2012021 1210.72800958003 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "C09" 2012021 1171.35354919465 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1208.93190913222 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1155.12948858724 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1184.83686471841 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1163.81583136472 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1197.93408928051 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1189.55753903358 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1215.91750237423 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1226.83813598951 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1231.10241856783 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1232.09551914968 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1219.49159388565 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1174.29958039455 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1192.60052770882 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "D09" 2012021 1186.92002335744 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "E09" 2012021 1182.52203231946 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "E09" 2012021 1209.14245935572 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "E09" 2012021 1112.14138866647 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "E09" 2012021 1203.72230364934 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "E09" 2012021 1233.60281566737 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "E09" 2012021 1207.09946181795 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "E09" 2012021 1177.51295819203 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "E09" 2012021 1127.85553689264 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "F09" 2012021 1212.28980379706 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "F09" 2012021 1075.96760959214 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "F09" 2012021 1187.70408922452 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "F09" 2012021 1208.18951987514 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "H09" 2012021 1162.43369174754 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "H09" 2012021 1198.17130129853 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "H09" 2012021 1044.80613598074 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "H09" 2012021 1222.31412338964 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "H09" 2012021 1223.19676718941 "Mismatched"
"25C" "QG4414" "ECA2546" "ECA1229" "H09" 2012021 1135.27761086899 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1207.05790740606 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1123.50433154607 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1194.3495117601 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1173.61398751155 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1192.50759178896 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1223.15072335744 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1234.82999230116 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1235.65270376076 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1166.76619838157 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1191.88928085621 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1129.55207560494 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "A07" 2012021 1163.226994648 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1153.03596660756 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1171.29087008987 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1138.19910841553 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1210.25016051064 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1206.13649581566 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1142.77778924831 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1197.11826837652 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1149.41678279206 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1193.5394868123 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1130.38139581566 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1069.6200438232 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1175.88272890074 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1208.60535621488 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1230.86944707335 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1209.70857675986 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "B07" 2012021 1157.43774632695 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1162.3001362906 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1215.72985935572 "Mismatched"
"25C" "QG4418" "ECA2546" "ECA2367" "C07" 2012021 1072.59060582746 "Mismatched"
